timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,42.65,-2.3357,235057467.0,10025200967.550001,9.32,-244108148.34000015,189268913.460001,-749615843.5299969
2022-03-18,43.67,2.1759,235157067.0,10269309115.890001,9.33,215352051.9699993,29232697.290002823,-688834332.2099991
2022-03-17,42.74,6.3713,235235308.0,10053957063.920002,9.33,601897020.4800034,-336496183.0299969,-887325001.5699978
2022-03-16,40.18,5.7368,235242908.0,9452060043.440002,9.33,506278339.44000244,-532663661.7599983,-1787671773.9400005
2022-03-15,38.0,-8.279,235415308.0,8945781704.0,9.34,-890150350.0900021,-1193208134.079998,-2513742156.799999
2022-03-14,41.43,-2.8149,237410863.0,9835932054.090002,9.42,-404144364.5100002,-938884756.989994,-1377815235.7699986
2022-03-11,42.63,-1.2051,240208220.0,10240076418.600002,9.53,-150376828.34999847,-718067029.4999981,-1254852338.1400013
2022-03-10,43.15,4.1013,240798453.0,10390453246.95,9.55,405729541.75,-550828818.5400009,-1077236342.1200008
2022-03-09,41.45,-1.4971,240885976.0,9984723705.2,9.56,-154266132.87999725,-1255008112.1800022,-1943916408.3999996
2022-03-08,42.08,-4.2766,240945576.0,10138989838.079998,9.56,-635826972.9999981,-1320534022.7200012,-2205326798.2199993
2022-03-07,43.96,-1.6555,245105023.0,10774816811.079996,9.72,-183326637.02000427,-438930478.7800045,-1810578896.920004
2022-03-04,44.7,0.1568,245148623.0,10958143448.1,9.72,16861382.609998703,-536785308.6400032,-1817533079.500002
2022-03-03,44.63,-1.9982,245155323.0,10941282065.490002,9.72,-298449751.8900013,-526407523.5799999,-1673741409.409998
2022-03-02,45.54,-1.8534,246810097.0,11239731817.380003,9.79,-219792043.41999626,-688908296.2199974,-1462885757.7999935
2022-03-01,46.4,2.2477,246972497.0,11459523860.8,9.8,245776570.93999863,-884792775.4999981,-911538216.2000008
2022-02-28,45.38,-2.2404,247107697.0,11213747289.86,9.8,-281181466.880003,-1371648418.1399994,-1167482938.2999992
2022-02-25,46.42,0.2375,247628797.0,11494928756.740004,9.82,27239167.670001984,-1280747770.8599987,-1622252147.6699963
2022-02-24,46.31,-3.8414,247628797.0,11467689589.070002,9.82,-460950524.5299988,-1147333885.829998,-1311265656.9099941
2022-02-23,48.16,-3.3514,247687710.0,11928640113.6,9.83,-415676522.69999695,-773977461.5799961,-647551571.789999
2022-02-22,49.83,-1.9094,247728610.0,12344316636.299997,9.83,-241079071.70000267,-26745440.70000267,-482899352.7000027
2022-02-21,50.8,-1.474,247744010.0,12585395708.0,9.83,-190280819.6000023,204165479.84000015,-60882752.969997406
